Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;,,,,,
24/09/2022;02.00.00;0,8;968;29;2,8;640;43;1320;61;1386;867;14,8;59,2;0,9879;;
24/09/2022;03.00.00;0,7;929;25;2,3;608;-200;1376;-200;1364;826;13,6;62,1;0,9636;;
24/09/2022;04.00.00;-200;941;25;2,6;626;59;1316;59;1373;840;12,3;66,2;0,9450;;,
24/09/2022;05.00.00;0,6;937;17;2,0;585;38;1412;52;1348;793;12,8;63,2;0,9283;;
24/09/2022;06.00.00;0,9;1017;27;3,5;681;82;1246;64;1418;870;11,2;68,5;0,9081;;
24/09/2022;07.00.00;1,3;1171;50;5,1;770;99;1162;70;1467;930;11,0;66,5;0,8705;;
24/09/2022;08.00.00;3,4;1541;218;16,2;1185;263;770;97;1889;1407;11,7;63,7;0,8719;;
24/09/2022;09.00.00;3,7;1539;285;19,7;1287;229;698;95;2055;1507;13,6;56,3;0,8743;;
24/09/2022;10.00.00;5,3;1735;437;25,1;1431;396;628;150;2211;1843;17,8;42,9;0,8672;;
24/09/2022;11.00.00;4,1;1571;327;20,0;1297;314;730;162;1973;1729;21,4;33,3;0,8417;;
24/09/2022;12.00.00;3,3;1452;283;18,3;1250;217;776;154;1868;1583;24,4;27,4;0,8231;;
24/09/2022;13.00.00;4;1579;366;22,3;1359;252;724;161;1998;1671;25,3;26,1;0,8264;;,
24/09/2022;14.00.00;3,8;1466;318;20,4;1309;263;773;161;1897;1491;25,8;23,2;0,7589;;
24/09/2022;15.00.00;2,8;1280;228;14,6;1136;180;893;128;1675;1240;27,0;20,2;0,7094;;
24/09/2022;16.00.00;2,9;1407;201;16,6;1197;184;905;129;1759;1313;28,2;18,6;0,7014;;
24/09/2022;17.00.00;2,9;1389;199;15,8;1173;190;898;133;1739;1363;28,0;19,1;0,7098;;
24/09/2022;18.00.00;3,4;1447;237;17,8;1235;184;859;139;1778;1296;23,9;25,7;0,7519;;
24/09/2022;19.00.00;3,9;1551;261;19,1;1271;181;800;137;1875;1432;21,3;34,8;0,8730;;
24/09/2022;20.00.00;3,2;1474;230;15,8;1173;166;854;143;1776;1432;20,4;36,7;0,8704;;
24/09/2022;21.00.00;5,1;1800;349;24,9;1426;317;700;177;2106;2034;19,0;41,3;0,9007;;
24/09/2022;22.00.00;2,6;1379;183;13,5;1101;184;818;138;1710;1602;17,9;45,9;0,9342;;
24/09/2022;23.00.00;1,7;1201;88;9,1;943;130;935;117;1560;1362;16,7;48,9;0,9226;;
24/09/2022;00.00.00;1,7;1205;85;8,6;925;132;922;107;1547;1314;15,5;52,9;0,9271;;
24/09/2022;01.00.00;1,2;1072;47;5,4;784;95;1066;90;1442;1114;15,5;51,9;0,9059;;
24/09/2022;02.00.00;0,9;998;34;4,1;714;70;1169;79;1383;992;14,1;55,6;0,8910;;
24/09/2022;03.00.00;0,7;933;26;2,6;625;-200;1292;-200;1332;884;13,1;57,9;0,8666;;
24/09/2022;04.00.00;-200;883;17;1,9;577;54;1396;60;1303;808;12,7;57,9;0,8447;;,
24/09/2022;05.00.00;0,5;869;11;1,6;554;28;1460;40;1268;667;11,8;58,0;0,8026;;
24/09/2022;06.00.00;0,5;891;18;1,9;576;46;1417;53;1289;733;11,9;57,4;0,7978;;
24/09/2022;07.00.00;1,6;1173;84;7,5;878;160;1038;84;1556;1052;9,9;65,2;0,7956;;
24/09/2022;08.00.00;4,1;1587;260;21,4;1334;320;702;108;1999;1534;11,1;60,2;0,7958;;
24/09/2022;09.00.00;6,6;1852;534;36,4;1696;377;553;127;2535;1931;14,1;50,0;0,8020;;
24/09/2022;10.00.00;4,3;1522;368;21,3;1331;280;703;134;2026;1734;17,7;40,1;0,8048;;
24/09/2022;11.00.00;2,9;1438;200;15,4;1161;221;819;135;1782;1595;21,1;33,4;0,8265;;
24/09/2022;12.00.00;2,5;1393;145;12,5;1067;210;905;142;1654;1490;24,3;28,3;0,8471;;
24/09/2022;13.00.00;2,8;1452;188;15,1;1152;204;861;153;1747;1508;25,6;25,6;0,8254;;
24/09/2022;14.00.00;2,6;1389;152;13,7;1108;161;887;123;1712;1334;25,9;25,9;0,8503;;
24/09/2022;15.00.00;2;1207;103;10,4;994;135;1013;104;1520;1045;26,8;18,7;0,6500;;,
24/09/2022;16.00.00;2,9;1365;193;15,2;1154;186;940;129;1679;1221;29,3;15,8;0,6309;;
24/09/2022;17.00.00;2,5;1247;134;12,3;1060;147;1032;114;1525;1069;28,5;14,9;0,5708;;
24/09/2022;18.00.00;5;1557;386;27,0;1478;299;793;158;1981;1569;25,9;16,0;0,5237;;,
24/09/2022;19.00.00;7,6;1973;577;38,4;1737;411;617;194;2414;2306;23,1;26,5;0,7403;;
24/09/2022;20.00.00;6,7;1975;523;35,1;1667;347;597;182;2416;2359;20,5;38,2;0,9133;;
24/09/2022;21.00.00;5,7;1795;472;27,2;1485;336;653;180;2174;2050;19,1;42,6;0,9294;;
24/09/2022;22.00.00;2,8;1444;206;15,0;1150;202;770;136;1727;1727;17,2;44,1;0,8558;;
24/09/2022;23.00.00;2,6;1488;216;15,7;1171;178;731;127;1778;1705;16,0;50,9;0,9206;;
